306, 368
401, 682
336, 408
350, 727
698, 783
143, 216
674, 721
372, 477
301, 508
656, 694
7, 89
409, 583
157, 206
0, 134
215, 264
319, 392
524, 578
100, 172
713, 997
1236, 1269
400, 475
364, 392
407, 497
205, 341
450, 510
712, 769
236, 390
75, 189
437, 495
198, 242
4, 87
799, 853
306, 368
143, 216
698, 783
674, 721
336, 408
350, 727
401, 682
301, 508
7, 89
372, 477
656, 694
157, 206
409, 583
0, 134
1236, 1269
215, 264
100, 172
319, 392
713, 997
400, 475
524, 578
364, 392
205, 341
407, 497
450, 510
236, 390
712, 769
437, 495
75, 189
198, 242
799, 853
4, 87
306, 368
401, 682
336, 408
350, 727
143, 216
674, 721
301, 508
372, 477
698, 783
7, 89
157, 206
409, 583
656, 694
0, 134
100, 172
215, 264
319, 392
400, 475
1236, 1269
524, 578
713, 997
364, 392
205, 341
450, 510
437, 495
236, 390
75, 189
407, 497
712, 769
198, 242
799, 853
4, 87
